Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW,onsh_WIND
1369,2,2,58,0.314741017,0.227747326,1,0.544213459,0.714474382,0.371259931,0.810590729,0.552979667,0.335686661,1,1,1,1,1,1,1,1,0.470539186
1370,2,3,58,0.283913686,0.290676029,1,0.642805523,0.739363889,0.310292352,0.919603311,0.549452491,0.359562574,1,1,1,1,1,1,1,1,0.488979942
1371,2,4,58,0.26316316,0.316122725,1,0.66557745,0.731818289,0.287878264,0.77608573,0.495273705,0.374656049,1,1,1,1,1,1,1,1,0.480099233
1372,2,5,58,0.245835175,0.330615284,1,0.729632934,0.635303801,0.268965881,0.658472086,0.427003853,0.408460114,1,1,1,1,1,1,1,1,0.465336544
1373,2,6,58,0.209684677,0.352724946,1,0.715462231,0.54009926,0.251163284,0.53092339,0.351020718,0.420846906,1,1,1,1,1,1,1,1,0.435679504
1374,2,7,58,0.157210036,0.380957701,1,0.675056824,0.432862792,0.253278946,0.307021654,0.295713756,0.432133072,1,1,1,1,1,1,1,1,0.397831128
1375,2,8,58,0.147850662,0.432503078,1,0.616172862,0.298183199,0.292471021,0.167333417,0.269531018,0.441464418,1,1,1,1,1,1,1,0.979113817,0.372350598
1376,2,9,58,0.152427037,0.480602621,1,0.415977625,0.179386672,0.324412736,0.061982161,0.179903984,0.453653166,1,1,1,1,1,1,0.995457057,0.998687742,0.338024037
1377,2,10,58,0.064700492,0.363058751,1,0.116865475,0.033431651,0.156236933,0,0.051898729,0.400476144,1,1,1,1,1,0.994735955,0.938584506,0.605252923,0.226333723
1378,2,11,58,0.032738783,0.285050308,0.999025503,0.063977292,0.016183916,0.087768435,0,0.033901518,0.336099824,1,1,0.996943709,0.760887263,0.760887263,0.663935305,0.72787535,0.669217944,0.183234908
1379,2,12,58,0.04491523,0.321095913,0.950263886,0.055973541,0.018576682,0.09876697,0,0.046551237,0.313960866,0.939330699,0.8554914,0.940399525,0.467676819,0.467676818,0.501790284,0.383250236,0.692856011,0.182289604
1380,2,13,58,0.059097539,0.354831277,0.948234538,0.041851415,0.016954273,0.123286085,0,0.06428136,0.324787054,0.803285482,0.465457351,0.285772949,0.379151017,0.379151017,0.679997206,0.558327794,0.350305319,0.192404582
1381,2,14,58,0.078068142,0.377706346,0.970849824,0.031403939,0.018471056,0.141431072,0,0.063943372,0.341958158,0.708948375,0.405736237,0.282887697,0.668492975,0.668492975,0.741468193,0.801743506,0.530280947,0.204232784
1382,2,15,58,0.095783063,0.404838358,0.991423312,0.027793756,0.034336918,0.151834646,0.006564961,0.07577716,0.379937882,0.638647438,0.830153881,0.861644031,0.690080169,0.690080168,0.963903844,0.952665687,0.829680088,0.224726008
1383,2,16,58,0.121978445,0.449025574,0.941552246,0.019014656,0.047784122,0.173902075,0.024023684,0.117919841,0.402289971,0.885578278,0.640862881,0.689275381,0.809797644,0.809797644,0.900559424,0.852627101,0.599076511,0.243599865
1384,2,17,58,0.168734636,0.447456157,0.93553724,0.017597799,0.071818889,0.203232982,0.069020013,0.166756043,0.41686572,0.967753591,0.840840757,0.902636169,0.778025031,0.778025032,0.875406506,0.925804975,0.656712112,0.266423857
1385,2,18,58,0.296668423,0.533234404,1,0.030664998,0.15283161,0.385700585,0.111744997,0.280198982,0.468793093,0.971017182,0.968141557,0.946733357,0.778788331,0.778788331,0.680581868,0.902728912,0.468101503,0.351304949
1386,2,19,58,0.465467307,0.64300728,1,0.108799835,0.326258182,0.584943245,0.214047072,0.62011406,0.663422587,0.840860486,0.950026451,0.997965215,0.946132722,0.946132719,0.729831576,0.592738747,0.364886463,0.517395244
1387,2,20,58,0.544653415,0.685777313,1,0.299233957,0.546384888,0.601063216,0.406108662,0.843641139,0.815070979,0.857039934,0.983696581,0.970917286,0.818723975,0.818723976,0.619541765,0.830136719,0.202593118,0.648685017
