Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,osw_zone1,osw_zone2,osw_zone3,osw_zone4,osw_zone5,onsh_WIND
1372,2,5,58,406.1258544,296.6335573,450.0439478,542.883741,945.2263937,204.3266239,294.4507821,257.5884214,977.6589747,5422.676004,14994.13999,14994.82266,108,761.4,4374.938296
1373,2,6,58,346.4043282,316.4707161,450.0439478,532.3400228,803.5778706,190.8024382,237.4144792,211.7518897,1007.307054,4010.900617,14395.52987,14994.82722,108,761.4,4096.112747
1374,2,7,58,259.7149098,341.8016152,450.0439478,502.2763601,644.0278412,192.4096536,137.2917213,178.3881786,1034.320762,3326.039717,14235.06957,14995.84664,108,761.4,3740.27499
1375,2,8,58,244.2529901,388.0489895,450.0439478,458.4637192,443.6470065,222.182888,74.82694635,162.5935432,1056.655558,2983.766032,12762.4205,14997.62687,108,761.4,3500.715589
1376,2,9,58,251.8132755,431.2047029,450.0439478,309.5083555,266.8975331,246.4482066,27.71673436,108.5263818,1085.829616,2907.19059,12169.53775,14997.19379,108,761.4,3177.988754
1377,2,10,58,106.8868302,325.7423783,450.0439478,86.95381385,49.74073658,118.6892739,0,31.30770759,958.5491521,3350.446123,8431.088901,14995.82102,108,761.4,2127.91384
1378,2,11,58,54.08528811,255.7518996,449.6053813,47.60233521,24.07897572,66.67547572,0,20.45095974,804.4629022,3791.647462,7167.75469,14994.82667,82.1758244,579.339562,1722.713218
1379,2,12,58,74.20108288,288.0926187,427.6605107,41.64714084,27.63901357,75.03078608,0,28.0818536,751.472782,3092.549051,6042.492259,14995.02833,50.5090964,356.089129,1713.825788
1380,2,13,58,97.63061182,318.3605517,426.7472147,31.13956595,25.22513877,93.65734198,0,38.77748182,777.3855203,3494.951441,5591.487345,14994.82739,40.9483098,288.685584,1808.923427
1381,2,14,58,128.9705215,338.8844454,436.9250875,23.36611604,27.4818591,107.441633,0,38.57359167,818.4849644,2987.52464,6798.344293,14995.19488,72.1972413,508.990551,1920.128219
1382,2,15,58,158.2360136,363.2277402,446.1840611,20.67995745,51.08762294,115.3449664,2.935671559,45.71227859,909.3903357,2011.606385,7153.498243,14994.82723,74.5286582,525.42704,2112.798647
1383,2,16,58,201.5114406,402.8732488,423.73989,14.14786385,71.09482643,132.1090379,10.74273718,71.13468745,962.8905907,2954.740343,6920.20316,14994.82683,87.4581455,616.579926,2290.244323
1384,2,17,58,278.7538365,401.4651411,421.0328726,13.09365072,106.8545621,154.3909912,30.86387001,100.5949374,997.7779913,5948.945955,9052.634228,14994.81031,84.0267034,592.388259,2504.827853
1385,2,18,58,490.1036499,478.4268181,450.0439478,22.81630663,227.3880165,293.007046,49.96931923,169.0289513,1122.067391,12138.3463,12108.36502,14994.82598,84.1091398,592.969435,3302.851447
1386,2,19,58,768.9636257,576.9168768,450.0439478,80.95257007,485.4179118,444.3666904,95.71602053,374.0814068,1587.917703,14994.17359,14994.3309,14994.82688,102.182334,720.385452,4864.376753
1387,2,20,58,899.7810556,615.2908651,450.0439478,222.6451722,812.9298391,456.6126276,181.6007326,508.9232517,1950.891728,14994.22189,14994.36552,14994.82712,88.4221893,623.376435,6098.71922
1388,2,21,58,939.6207968,605.5131811,450.0439478,344.8296456,1097.161235,495.1997739,364.2735712,524.3380125,2076.495105,14994.31366,14994.72749,14994.82723,91.3699778,644.158343,6897.475269
1389,2,22,58,918.2660486,564.3258815,450.0439478,432.4605306,1320.815368,504.735895,446.3423124,528.0435614,2153.500732,14994.76228,14994.76238,14994.82704,83.8506755,591.147262,7318.534277
1390,2,23,58,928.7660971,550.7421815,450.0439478,542.2220853,1325.841222,416.1503255,445.9572822,513.3456296,2219.755083,14994.76015,14994.76177,14994.82685,62.1000309,437.805218,7392.823854
1391,2,24,58,925.368628,610.4212762,450.0439478,547.8688744,1347.1723,309.7944964,447.1727631,482.2796034,2156.709146,14994.75787,14994.76104,14994.82674,63.4787979,447.525525,7276.831035
1392,2,1,59,1033.147312,671.8919991,450.0439478,555.284655,1377.054052,251.5668516,446.8357568,492.0611166,2100.443433,14994.7584,14994.75922,14994.82679,47.5293596,335.081985,7378.329123
1393,2,2,59,1105.185594,705.5345268,450.0439478,552.5815519,1377.868279,258.9113007,447.1727631,480.935076,2131.388713,14994.76144,14994.76084,14994.82683,9.81433503,69.191062,7509.621752
1394,2,3,59,1193.186872,706.3566482,450.0439478,541.122532,1360.305189,327.405793,447.1727631,474.6001946,2105.714489,14994.75941,14994.76155,14994.82688,18.5417011,130.718993,7605.908429
1395,2,4,59,1289.138006,713.0361627,450.0439478,514.4773895,1356.352429,387.9716032,446.0759701,427.6554195,2100.47694,14994.78612,14994.75899,14994.82738,30.4200933,214.461658,7685.227868
