Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
59,UC,6552142.041,57790296.77,39.10250184,4582295.853,46775702.27,193527523.2,262.9154269,11134437.89,135737226.4
60,UC,7096179.765,57327642.61,36.49281737,5877290.644,46354664.35,454763900.8,434.8183813,12973470.41,397436258.2
61,UC,7898017.322,58885073.32,36.87472382,9155452.857,46827659.5,314835673,1739.156046,17053470.18,255950599.7
62,UC,8050167.643,58255529.52,37.87422325,7081130.396,46247071.56,480765283.6,2801.716817,15131298.04,422509754.1
65,UC,5647835.985,56052128.17,41.00025918,6287980.709,46433967.27,314139109.7,3688.18974,11935816.69,258086981.5
66,UC,5921853.033,56036773.61,38.00795028,7382384.087,46693458.97,194703527.9,257.192566,13304237.12,138666754.3
67,UC,7443213.461,57314823.74,36.10595712,5830814.934,46087533.99,194986237.5,258.6508394,13274028.4,137671413.8
68,UC,6912826.254,57909720.12,38.20422395,3557523.607,46425238.35,417433140.4,3485.680241,10470349.86,359523420.3
69,UC,5677128.153,56350020.39,39.84400971,5938295.317,46516789.32,193974864.7,261.950502,11615423.47,137624844.3
75,UC,5812949.092,57025801.62,38.29742312,5484860.81,46238689.09,229587604.5,1955.71993,11297809.9,172561802.9
76,UC,6725745.332,57282455.2,33.92565278,4006091.325,46059200.64,193326619.4,267.419505,10731836.66,136044164.2
82,UC,5008675.326,56088010.86,39.08659625,6047601.036,46643919.31,835956507.6,6292.890991,11056276.36,779868496.7
85,UC,5364885.092,56641661.63,36.31781337,6803627.807,46808205.01,288199943.7,1993.280429,12168512.9,231558282.1
86,UC,5468702.339,56071331.14,36.46128215,8254346.371,46674295.93,195720638.8,257.348287,13723048.71,139649307.7
88,UC,5560606.918,56957975.61,37.12736286,5260499.689,46301822.32,472856342.1,4245.778525,10821106.61,415898366.5
91,UC,5609388.397,56445042.6,40.17806785,7157856.8,46348833.87,369879653,1990.520449,12767245.2,313434610.4
92,UC,5033436.406,56499417.05,38.62017819,4976214.637,46433434.46,304632543.1,2250.515579,10009651.04,248133126.1
93,UC,5485555.48,56732836.04,40.91026177,5938886.396,46186021.09,262411866.8,2859.238739,11424441.88,205679030.8
94,UC,7071081.599,57264793.98,37.73442922,6372085.692,46306538.32,195425671.2,259.0609741,13443167.29,138160877.2
95,UC,5965582.362,56331786.4,37.95886467,6308919.013,46678669.22,206984820.4,1744.637483,12274501.38,150653034
96,UC,5384553.201,55309002.27,39.57373804,6067052.885,46541382.77,252818665.8,1743.482879,11451606.09,197509663.5
98,UC,6469857.126,56880589.54,38.19631717,6644427.797,46655755.31,261463633.2,1994.201128,13114284.92,204583043.7
101,UC,5797666.933,56463955.59,35.82411723,6788849.012,46561050.92,335041230.4,1745.718561,12586515.94,278577274.8
102,UC,6741137.015,58085254.24,37.43036663,5729730.139,46583643.19,238919453,1178.752002,12470867.15,180834198.8
107,UC,6198405.805,57281859.43,39.2168163,6824031.73,46183416.92,219455697,2553.346331,13022437.53,162173837.6
108,UC,2877657.455,54041719.24,40.75923311,4707026.029,46275395.51,190611691.2,262.816094,7584683.484,136569972
110,UC,6392608.363,57097060.45,37.65591453,7975703.905,46841664.68,211829405.6,1944.36967,14368312.27,154732345.2
111,UC,9812294.978,59389796.07,34.81695673,7913887.811,46436887.12,296110458.3,3581.222981,17726182.79,236720662.2
113,UC,5824343.724,56460991.42,40.57439043,4758099.127,46245511.62,286674600.9,2001.701961,10582442.85,230213609.5
119,UC,4963639.027,55980114.79,37.76332199,7664207.546,46777886.22,194958512,261.6288129,12627846.57,138978397.2
120,UC,4080987.598,55704351.99,40.17671862,5168771.343,46102805.38,575292175.7,3481.56166,9249758.941,519587823.7
