Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
154,UC,7988441.636,1455209613,45.3509829,6219282.92,745552.8386,3461860817,11722.23082,14207724.56,2006651204
159,UC,6348227.215,1453708606,49.0959617,6080420.933,1110673.727,4449616738,13460.01692,12428648.15,2995908132
160,UC,4406892.04,1452226330,53.3104058,5405315.327,743959.6016,3858897891,11840.03902,9812207.367,2406671561
162,UC,5710274.379,1453756767,52.18073832,5192186.271,731438.7639,3641204038,8640.813519,10902460.65,2187447271
165,UC,5815123.789,1454034051,52.83480057,5760101.251,1161760.422,4585921545,18258.21719,11575225.04,3131887494
166,UC,5416890.444,1453367598,50.79427994,5932213.883,1315967.151,4122311943,7186.194069,11349104.33,2668944345
167,UC,6195459.645,1454158996,49.86230797,5981187.311,1031673.311,4169014702,19843.14805,12176646.96,2714855706
168,UC,5019784.994,1453320384,51.14668542,6804729.717,1172211.595,3337049798,6686.87212,11824514.71,1883729414
176,UC,5441480.316,1454104035,51.62684042,4364581.042,692591.89,4571589355,28365.66097,9806061.358,3117485320
181,UC,6090244.295,1453720040,51.19928569,4705734.27,874878.3933,4979350949,14422.59109,10795978.57,3525630909
182,UC,7466794.442,1454847030,53.60394076,5504586.56,1165743.433,3490794553,9670.721056,12971381,2035947523
184,UC,8761390.452,1455722606,44.44580759,6045213.463,941918.2538,3593974911,12371.45515,14806603.92,2138252305
185,UC,7232299.091,1454392557,47.39866311,6942931.906,1086866.584,4278784044,16499.79543,14175231,2824391487
186,UC,5823264.251,1453856539,51.29518865,5666318.97,1182954.865,3839723027,9337.889572,11489583.22,2385866488
190,UC,5116210.099,1453737538,50.79717233,3770678.819,850306.8466,4981431584,26078.00289,8886888.918,3527694046
191,UC,4772120.782,1453361469,55.18819311,5975433.774,905632.5646,4547545270,20401.91831,10747554.56,3094183801
196,UC,7460687.682,1455110581,49.80604147,5327028.992,1045174.539,3862968022,10854.61931,12787716.67,2407857441
197,UC,7200723.433,1455079855,47.43937873,4971600.847,622129.5431,3962875140,16060.92368,12172324.28,2507795285
198,UC,6476020.312,1454626956,48.56759761,7300306.425,1383919.826,4382288677,14213.53088,13776326.74,2927661721
199,UC,5378667.883,1453857279,54.51452256,5386834.712,1156928.998,3922905298,15541.03366,10765502.6,2469048019
207,UC,7728211.221,1455821932,46.02896618,4738956.918,954041.8948,4255287474,15431.33259,12467168.14,2799465542
208,UC,4425436.607,1452662290,53.60352117,6613774.612,1077941.063,3992711003,7235.254309,11039211.22,2540048713
210,UC,7064085.633,1454685166,49.17283951,6806765.017,1429956.767,3653923832,13505.5806,13870850.65,2199238666
212,UC,6341176.735,1455130955,50.34493331,4216007.477,689217.1123,3682813838,15160.87106,10557184.21,2227682883
213,UC,5643753.817,1454075006,54.88502677,6179181.57,1224062.591,3907800060,10760.12831,11822935.39,2453725054
215,UC,4810843.38,1452547829,52.0405526,6902330.636,1075653.697,4704485844,10274.22082,11713174.02,3251938015
216,UC,5512253.096,1453905991,51.21928774,7166808.145,1235585.943,3192342584,8126.64225,12679061.24,1738436593
217,UC,4813825.999,1453973044,53.13584051,5974169.48,1197065.593,4380884069,18396.31598,10787995.48,2926911025
227,UC,4901022.631,1453424373,51.17705333,4550800.632,798976.2808,4550447990,21215.06543,9451823.263,3097023617
228,UC,5220998.264,1453071712,51.06630222,8952035.417,1330657.308,3513764510,7237.875344,14173033.68,2060692798
229,UC,5875761.094,1453704679,51.56183708,4388042.442,686873.2751,4466380679,18919.10198,10263803.54,3012676000
230,UC,4915468.075,1452507082,55.75838089,6758044.869,1184906.841,3605659820,10359.20793,11673512.94,2153152738
