Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
154,UC,7764005.716,1452426008,47.32032181,6975204.277,2092544.114,4339798414,8935.922953,14739209.99,2887372406
159,UC,7144523.797,1453249320,47.68086848,4974493.978,643701.8258,3493740003,15398.38597,12119017.77,2040490683
160,UC,-2.65E-10,1453140627,47.68086848,489610.5077,223705.403,9915162469,15398.38597,489610.5077,8462021842
162,UC,5660159.789,1450994529,46.27757273,7507674.692,2169105.21,2963439840,3889.712453,13167834.48,1512445311
165,UC,7958119,1454263393,44.89064414,9428892.155,1676991.007,2910992610,19.18929197,17387011.15,1456729217
166,UC,7783267.594,1453925034,40.31389537,7879298.506,1398488.234,2943255334,2886.015884,15662566.1,1489330300
167,UC,4917374.282,1450288827,51.48017803,6648622.204,1758335.516,2904242949,24.39820071,11565996.49,1453954122
168,UC,7673626.227,1452938921,48.33242976,7534065.623,1584043.188,2907866247,22.60023536,15207691.85,1454927326
176,UC,8594639.493,1453641517,45.21717266,9249165.6,1939640.135,2909939385,20.87711113,17843805.09,1456297867
181,UC,4366237.402,1450859709,49.73366513,3107284.77,1355643.403,4304123790,18157.78878,7473522.172,2853264082
182,UC,-6.25E-10,1453351555,61.49569083,312800.8698,254792.2205,8569352355,55606.48604,312800.8698,7116000800
184,UC,5.70E-10,1454249228,60.91319746,79606.53146,167189.5603,7922812734,54998.70366,79606.53146,6468563506
185,UC,258598.4657,1450930525,58.27253688,1840969.975,1015531.066,4926324003,21664.15251,2099568.441,3475393478
186,UC,217278.5754,1451199389,59.97301982,1128352.393,370349.0151,5729106669,38152.42468,1345630.969,4277907281
190,UC,-3.18E-10,1451860673,60.04573829,435982.8572,888940.497,8953401707,44362.58666,435982.8572,7501541033
191,UC,2625384.88,1452388535,51.70571542,2587252.685,1116547.469,6389309308,33357.40277,5212637.564,4936920773
196,UC,337597.2305,1451419707,62.07930506,1769508.557,700305.0639,4799723707,30369.33617,2107105.787,3348304000
197,UC,454985.1511,1451376137,56.37730376,100589.7328,451110.7279,6737671461,46175.42893,555574.8839,5286295324
198,UC,-3.81E-10,1454266363,60.12239765,179468.3943,173206.743,7490426339,50184.32623,179468.3943,6036159976
199,UC,629821.8186,1451888431,56.4703049,1292509.824,472142.5873,4941823960,24688.44452,1922331.643,3489935529
207,UC,5.68E-11,1454771653,71.20047317,4.12E-11,165667.1723,9095119181,51887.86033,9.80549E-11,7640347528
208,UC,771275.9577,1452074999,55.5664147,1319103.496,509885.2965,5999658258,27177.10317,2090379.454,4547583259
210,UC,986672.0163,1451417436,54.72656011,3869495.085,1187135.723,6013837441,25120.47322,4856167.101,4562420005
212,UC,9198232.205,1455227184,47.24542079,9052124.503,1848756.395,3899299275,12449.39028,18250356.71,2444072091
213,UC,1102727.242,1451542966,57.8876599,1713052.518,835680.3746,6533166343,31219.53473,2815779.761,5081623377
215,UC,2386748.433,1451988261,53.98342512,4099012.262,820593.4524,3920232832,17293.17793,6485760.694,2468244571
216,UC,3418793.268,1451150931,52.10998652,3657434.796,1605411.561,3320466361,8069.338461,7076228.064,1869315430
217,UC,2523286.071,1450970081,52.12283284,4115637.989,1439572.247,5104250586,19411.4517,6638924.06,3653280505
227,UC,1658395.648,1451276211,63.640715,4186637.783,1671178.72,5914001634,26048.55254,5845033.431,4462725422
228,UC,4517932.935,1452892574,55.25600766,5057418.487,1776884.074,6799980319,27035.69515,9575351.422,5347087745
