Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
59,UC,11751731.21,59591075.84,32.58871582,12911161.37,47545310.87,227950976.3,430.0665266,24662892.58,168359900.5
60,UC,11751738,59594417.32,32.02703232,12907758.35,47545317.54,227950908.1,430.0665266,24659496.35,168356490.8
61,UC,11751475.32,59816222.38,33.22098561,12581022.59,47459113.9,227932181.1,430.8680367,24332497.9,168115958.7
62,UC,6895881.338,56824218.17,41.94582712,7904159.242,47120945.58,476276849.3,3413.969794,14800040.58,419452631.2
65,UC,7813240.502,57807234.34,39.34216596,8675360.016,47122754.66,544450014.2,3414.218669,16488600.52,486642779.8
66,UC,6794869.675,57228965.9,42.51508114,7498478.017,47442425.56,220279068.4,436.7598468,14293347.69,163050102.5
67,UC,11456714.59,59383817.95,31.95073715,12413340.1,47573068.78,227218139.3,282.8538398,23870054.69,167834321.3
68,UC,5447060.976,55457693.25,41.77738076,5201921.214,47374162.51,1476649405,7581.976365,10648982.19,1421191712
69,UC,11751668.92,59669013.98,32.28905216,12659434.21,47553554.55,227768943.6,430.9853497,24411103.12,168099929.7
75,UC,5990968.727,56523048.61,43.71606433,5775202.084,47143498.62,306683629.8,3418.435072,11766170.81,250160581.1
76,UC,6776269.392,56926850.96,41.23574923,8140716.316,47145539.27,344249721.1,1700.175503,14916985.71,287322870.2
82,UC,6812656.856,57043342.85,41.93335711,7993110.497,46937313.11,539748684.5,4903.79668,14805767.35,482705341.7
85,UC,6084332.098,56145920,41.94186269,6051683.588,47201139.05,219628956.8,1928.507084,12136015.69,163483036.8
86,UC,6897972.323,56912164.25,40.78484146,7784219.414,47318757.23,373987563.6,1770.030937,14682191.74,317075399.3
88,UC,5240223.108,55567853.79,41.69377244,5220589.019,47210958,216595691,437.6751363,10460812.13,161027837.2
91,UC,6337166.795,56207717.85,40.85617898,7290850.435,47268591.35,219224026.9,438.1289532,13628017.23,163016309.1
92,UC,6180901.352,54996857.87,38.62303309,8405481.451,47494555.72,218901833.6,435.6277883,14586382.8,163904975.7
93,UC,7344781.22,57283458.73,37.21469183,9700553.352,47129992.21,2352418382,11100.82134,17045334.57,2295134924
94,UC,9903295.581,57784367.51,32.57293254,9929110.035,47442011.49,607449972.6,4624.554875,19832405.62,549665605.1
95,UC,10989343.92,58909181.88,32.32982315,10720468.65,47259509.48,389213797.2,1922.869173,21709812.56,330304615.4
96,UC,7517176.771,57093983.25,36.71379562,8484693.297,47120919.78,2345495425,11102.48135,16001870.07,2288401442
98,UC,7344858.182,57663464.74,38.75053134,9600787.095,47118712.89,2408003987,11102.484,16945645.28,2350340523
101,UC,10177904.91,58167114.15,36.24863913,8697271.547,47470841.32,692113044.6,2137.749204,18875176.46,633945930.4
102,UC,10527882.17,58946659.19,34.63763577,12828149.83,47601586.53,227167272.5,431.6628699,23356032,168220613.3
107,UC,10556869.44,58867757.98,33.54590275,12645552.47,47409889.46,351252510.9,3320.02275,23202421.91,292384752.9
108,UC,6501134.999,56667735.69,39.59944614,6987611.973,47348076.01,219301321.6,970.1254404,13488746.97,162633586
110,UC,7840709.421,56832276.12,34.93011556,10162079.85,47363206.27,448438709.1,3088.269869,18002789.27,391606432.9
111,UC,10178448.26,58112957.34,32.15527545,10118957.32,47408875.2,682171817.1,6753.350206,20297405.59,624058859.7
113,UC,10145369.02,58115911.35,32.49528262,10349428.32,47336723.64,224131795.7,434.3862037,20494797.34,166015884.4
119,UC,7388317.072,57676738.15,37.61285781,8159387.67,47059303.18,2842413493,12593.6951,15547704.74,2784736754
120,UC,7344975.816,57624109.19,39.12600238,9221317.637,47012399.95,2460778190,9846.258194,16566293.45,2403154080
