Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
59,UC,11751793.05,59601590.91,32.34596557,12730472.11,47304157.18,227532870.5,273.4233001,24482265.16,167931279.6
60,UC,11404557.94,59318392.42,32.29365322,10754039.18,47264510.42,225312885.9,430.2373422,22158597.12,165994493.5
61,UC,11588828.08,59648091.88,34.41814594,12311807.84,47378179.32,227086685.1,431.5052592,23900635.92,167438593.2
62,UC,6744750.556,56095438.4,37.72704432,7942969.081,46872025.93,219680575.8,436.9260186,14687719.64,163585137.4
65,UC,5920197.815,56928099.01,42.98461967,6743084.291,46707240.53,356309552.4,3416.129709,12663282.11,299381453.4
66,UC,4358410.897,55425771.73,42.24193916,5858387.137,46621197.14,2471352285,10159.7724,10216798.03,2415926513
67,UC,11279048.19,59139719.26,34.37323547,12730495.1,47288071.81,227087107.2,429.8427105,24009543.29,167947387.9
68,UC,5332851.309,54826252.67,41.27674518,6303715.102,47249728.85,216409529.9,283.7871425,11636566.41,161583277.2
69,UC,11751602.61,59595454.28,32.18805304,12730197.26,47288212.65,227542403.6,429.8427105,24481799.87,167946949.3
75,UC,1574381.049,52452672.81,49.76039179,1977659.128,46842446.41,627043116.4,8837.575059,3552040.177,574590443.6
76,UC,395899.9623,52992048.29,50.38612963,2857828.898,46835300.09,2447852890,8904.272361,3253728.86,2394860842
82,UC,6522402.023,57674021.19,41.94048271,6168892.749,46581401.8,2248069884,11645.03533,12691294.77,2190395863
85,UC,7358168.072,57824549.93,39.16516446,8589811.595,46639506.97,2520054132,13322.64822,15947979.67,2462229582
86,UC,6420043.036,57159570.45,42.31615444,6973159.509,46734520.57,219905143.7,439.7307503,13393202.55,162745573.3
88,UC,1958577.784,55166847.31,48.43427353,2807573.152,46317617.4,2615883501,11653.18315,4766150.936,2560716654
91,UC,5178040.361,54432099.97,37.45324273,4361679.952,47014865.87,895086857.2,8901.841719,9539720.313,840654757.2
92,UC,8416537.337,56965858.83,35.95198617,8924453.707,47273233.98,221122043.2,432.0457479,17340991.04,164156184.4
93,UC,8813742.168,58112001.23,37.07153145,10188479.79,46985590.6,1827874137,6944.395176,19002221.96,1769762136
94,UC,11751882.36,59592638.28,32.0292829,12730248.26,47288026.71,227539824.5,429.6691735,24482130.62,167947186.2
95,UC,11751718.17,59604659.96,32.35282926,11143689.09,47258245.67,226008657.3,432.3368939,22895407.27,166403997.3
96,UC,1149414.515,55009066.92,50.19552929,64471.16404,46229701.03,2520431540,10403.5375,1213885.679,2465422473
98,UC,3223549.455,55389804.09,47.33977443,2190153.08,46588510.72,378585830.5,4429.849667,5413702.535,323196026.4
101,UC,11751928.4,59594490.44,32.32324171,12628533.42,47288027.08,227439961.5,429.6691735,24380461.82,167845471.1
102,UC,9357960.257,57661278.75,36.42159607,11049970.31,47374735.01,223841478.7,432.2601339,20407930.57,166180200
107,UC,9674844.058,58257893.01,32.9939184,10548787.39,47242872.33,240845755,4044.377589,20223631.44,182587862
108,UC,4400594.905,54450327.29,40.79576698,7322051.116,47119768.82,217157574.3,440.1269086,11722646.02,162707247
110,UC,6492110.796,55680046.83,41.20434373,8484835.457,47289099.56,219380747.4,437.9390171,14976946.25,163700700.6
111,UC,9077996.717,57529604.18,34.77917817,11159064.82,47239241.31,223983816.9,434.1607417,20237061.54,166454212.7
113,UC,11751637.39,59604272.77,32.01281394,12370122.84,47291541.38,227187818.9,429.8848529,24121760.23,167583546.1
119,UC,6790032.636,56675446.42,41.7327368,7743979.382,47168631.46,219757213.4,437.4679738,14534012.02,163081767
120,UC,4268437.261,54672902.32,45.72936825,5826602.518,46935543.99,216108026.5,447.5308456,10095039.78,161435124.2
