Day,Phase,Wind Curtailment Cost_uc,Objective Value,average price_da ,Wind Curtailment Cost_rt,Deviation Cost,total obj,average price_rt ,total wind,realtime cost
154,UC,7028651.106,1451994604,46.44109852,5418626.692,1644631.291,3135586201,5182.081778,12447277.8,1683591597
159,UC,7137333.632,1453700949,44.83043039,8312867.608,1241221.324,3194978355,8093.596279,15450201.24,1741277406
160,UC,66992.76454,1452742135,60.2716078,400092.0553,287975.4193,9400052485,53844.4611,467084.8199,7947310350
162,UC,7986813.714,1453691365,46.81217672,8790748.309,1409877.95,2909466125,20.39459908,16777562.02,1455774760
165,UC,4828526.23,1453428577,46.81217672,5225936.594,1154061.528,4917204785,20.39459908,10054462.82,3463776208
166,UC,1802414.305,1451115141,54.97433579,3210169.195,1152886.364,5523775244,18232.83136,5012583.5,4072660103
167,UC,7674599.455,1452774768,46.1174684,9190903.295,1956342.426,2908411470,18.60791061,16865502.75,1455636702
168,UC,5645512.344,1450402600,43.21099548,5961535.762,1778151.105,2902999242,18.60436577,11607048.11,1452596642
176,UC,8925098.2,1455020350,45.49106502,8662589.411,1541233.248,2910535595,18.7442591,17587687.61,1455515245
181,UC,1362600.449,1453106613,56.88117037,1146638.377,420071.1305,7825766677,33209.36523,2509238.826,6372660064
182,UC,-2.74E-10,1456458100,61.49782864,-4.50E-10,246653.8129,11459717423,54046.46605,-7.23E-10,10003259323
184,UC,6.81E-10,1456649408,66.05223738,-2.44E-10,279267.1076,9175686340,49955.30622,4.37E-10,7719036932
185,UC,394515.3364,1450769859,56.61041008,1137048.651,730774.8799,4789408628,25064.66381,1531563.987,3338638769
186,UC,183711.7971,1451555765,58.37295256,266215.5558,614662.8013,6532783369,34998.93623,449927.3529,5081227604
190,UC,3396627.45,1450919521,56.23314067,3217950.366,830224.1693,2985519299,5247.0518,6614577.817,1534599778
191,UC,1035177.015,1454197760,52.0250446,1638119.098,184856.6607,7170981199,41836.98685,2673296.113,5716783439
196,UC,2055878.568,1452550040,53.79058934,2139158.462,423965.5701,4596406032,19019.82944,4195037.03,3143855992
197,UC,70883.01011,1450425040,66.97464224,36723.58607,693383.4365,6405788836,36840.0307,107606.5962,4955363796
198,UC,-1.02E-09,1451769467,61.48409647,-5.97E-10,261857.8661,6030167939,41774.64546,-1.62E-09,4578398472
199,UC,2820361.851,1452024555,61.48409647,3730284.086,1213619.295,5740665662,41774.64546,6550645.937,4288641107
207,UC,5.39E-10,1457379493,60.79128196,3.13E-11,246653.8129,11327372048,52432.61695,5.71E-10,9869992555
208,UC,3283773.407,1450381006,46.97374802,6214226.391,1210797.37,3107204124,7576.129903,9497999.798,1656823118
210,UC,6937261.86,1453950720,48.49104732,8290392.474,1412068.274,3011217605,3198.946995,15227654.33,1557266885
212,UC,4340537.927,1451189777,49.81164033,3150320.565,856007.7147,3099950116,8367.81611,7490858.492,1648760339
213,UC,2209908.164,1450961528,55.50931674,3075928.103,895558.1311,4893680699,18172.67327,5285836.267,3442719171
215,UC,3680354.967,1451528396,53.75097653,4747541.297,1507980.075,5535621552,24662.91584,8427896.264,4084093156
216,UC,4896549.059,1453711760,56.66828154,8006432.373,1272821.045,2908839260,19.69485194,12902981.43,1455127500
217,UC,6915088.389,1452562009,47.85867106,8534778.154,1815128.627,3248840600,10342.64101,15449866.54,1796278591
227,UC,808636.6105,1452218005,61.61269788,4452282.325,1314594.782,7321455737,28635.80675,5260918.936,5869237732
228,UC,6227366.914,1452450538,31.51922727,8142567.326,1615024.499,2978207967,3185.311503,14369934.24,1525757429
